iter	Passed	Remaining
792	7033	1836
793	7040	1826
794	7048	1817
795	7056	1808
796	7063	1799
797	7071	1789
798	7078	1780
799	7086	1771
800	7093	1762
801	7101	1753
802	7110	1744
803	7118	1735
804	7127	1726
805	7135	1717
806	7143	1708
807	7150	1699
808	7158	1690
809	7165	1680
810	7173	1671
811	7180	1662
812	7187	1653
813	7194	1643
814	7202	1634
815	7209	1625
816	7217	1616
817	7224	1607
818	7231	1598
819	7238	1589
820	7246	1579
821	7254	1570
822	7261	1561
823	7268	1552
824	7275	1543
825	7282	1534
826	7290	1525
827	7297	1515
828	7305	1506
829	7313	1497
830	7320	1488
831	7327	1479
832	7334	1470
833	7342	1461
834	7349	1452
835	7356	1443
836	7363	1434
837	7371	1425
838	7379	1416
839	7386	1407
840	7394	1397
841	7401	1388
842	7409	1379
843	7416	1370
844	7424	1361
845	7431	1352
846	7439	1343
847	7447	1334
848	7455	1325
849	7463	1317
850	7470	1308
851	7478	1299
852	7486	1290
853	7493	1281
854	7501	1272
855	7509	1263
856	7517	1254
857	7525	1245
858	7532	1236
859	7540	1227
860	7547	1218
861	7554	1209
862	7562	1200
863	7570	1191
864	7578	1182
865	7585	1173
866	7593	1164
867	7601	1155
868	7609	1147
869	7617	1138
870	7624	1129
871	7632	1120
872	7640	1111
873	7648	1102
874	7655	1093
875	7663	1084
876	7670	1075
877	7679	1067
878	7690	1058
879	7699	1049
880	7709	1041
881	7719	1032
882	7729	1024
883	7738	1015
884	7748	1006
885	7758	998
886	7768	989
887	7778	981
888	7787	972
889	7796	963
890	7805	954
891	7817	946
892	7827	937
893	7838	929
894	7849	920
895	7860	912
896	7871	903
897	7882	895
898	7892	886
899	7902	878
900	7912	869
901	7922	860
902	7932	852
903	7942	843
904	7952	834
905	7962	826
906	7972	817
907	7982	808
908	7992	800
909	8002	791
910	8012	782
911	8021	774
912	8031	765
913	8042	756
914	8052	748
915	8061	739
916	8072	730
917	8083	722
918	8094	713
919	8102	704
920	8111	695
921	8120	686
922	8129	678
923	8138	669
924	8149	660
925	8157	651
926	8164	642
927	8172	634
928	8179	625
929	8186	616
930	8194	607
931	8201	598
932	8208	589
933	8216	580
934	8224	571
935	8231	562
936	8238	553
937	8246	545
938	8253	536
939	8261	527
940	8269	518
941	8278	509
942	8286	500
943	8296	492
944	8305	483
945	8313	474
946	8320	465
947	8327	456
948	8334	447
949	8342	439
950	8349	430
951	8357	421
952	8364	412
953	8371	403
954	8379	394
955	8386	386
956	8394	377
957	8401	368
958	8408	359
959	8416	350
960	8423	341
961	8431	333
962	8438	324
963	8446	315
964	8453	306
965	8461	297
966	8468	288
967	8476	280
968	8484	271
969	8492	262
970	8499	253
971	8506	245
972	8514	236
973	8521	227
974	8529	218
975	8536	209
976	8544	201
977	8551	192
978	8559	183
979	8566	174
980	8573	166
981	8580	157
982	8588	148
983	8595	139
984	8602	131
985	8610	122
986	8618	113
987	8625	104
988	8632	96
989	8639	87
990	8646	78
991	8655	69
992	8662	61
993	8670	52
994	8678	43
995	8686	34
996	8695	26
997	8704	17
998	8713	8
999	8722	0
